JOUR,HEURE,ID_MALE,VU,DIFFUSION,DIFFUSION_SOUS_TYPE,SESSION_DIFF,SESSION_TYPE,SESSION_SOUS_TYPE,STROPHES_AVANT,DISTANCE_MIN,LATENCE,STROPHES_APRES,CRIS,SURVOLS,FEMELLE,PUBLIC,TEMPERATURE,VENT_MOY,VENT_MAX,PLUIE,ENSOLEILLEMENT,MEMO
2,1054,6,0,FJ,4,12,2,1,0,90,180,0,0,0,0,11,13.4,2,6.4,0,575,
2,1102,5,0,FG,3,12,2,1,0,10,55,2,240,0,0,3,14.8,3,6.4,0,640,
2,1111,4,0,TN,2,12,2,1,0,90,180,0,0,0,0,2,14.8,3,6.4,0,640,
2,1120,3,0,FG,1,12,2,1,4,5,95,7,0,0,0,0,14.8,3,6.4,0,640,bruit
2,1126,2,0,FJ,3,12,2,1,0,90,180,0,0,0,0,11,15.3,5,6.4,0,640,
2,1141,1,1,FG,2,12,2,1,1,5,2,0,0,0,0,13,15.3,5,9.7,0,698,
2,1304,6,0,FTNsif,1,13,3,2,0,90,180,0,0,0,1,15,17.6,5,12.9,0,846,pasdemalemaisfemelle
2,1313,5,1,TN,2,13,2,1,1,10,10,1,120,0,0,3,17.6,5,12.9,0,846,
2,1323,4,0,FTNcomp,3,13,2,1,0,90,180,0,7,0,0,0,17.6,5,12.9,0,846,bruitenfantsetepervier
2,1333,3,0,FJ,1,13,2,1,0,2,20,0,0,3,0,0,17.6,5,16.1,0,805,
2,1340,2,0,FG,3,13,2,1,0,5,180,0,0,0,0,0,17.6,5,16.1,0,905,
2,1350,1,1,FTNcomp,1,13,2,1,1,90,20,5,0,0,0,2,17.6,5,16.1,0,805,
2,1407,6,0,FTNsif,2,14,4,1,0,10,180,0,0,0,0,7,18.4,6,16.1,0,800,
